Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Atlantic Canada Opportunities Agency,12,BED06,Trade and Investment,"The Atlantic Canada Opportunities Agency (ACOA) pursues trade and investment opportunities with a view to increase the number of exporters and the volume of export sales, attract foreign direct investment and support the commercialization of technology. The Agency promotes Atlantic Canada abroad as a world leader in various fields and ways such as: energy production; export and research; a centre of innovation; a skilled labour pool; a reliable supplier of quality products at competitive prices; and the gateway to the North American market. The Agency plays a role in coordinating the efforts of federal, provincial and private-sector organizations in Atlantic Canada in pursuing trade and investment opportunities. Clients include businesses, non-profit organizations, learning and research institutions, and provincial governments. ACOA also strives to build a foundation for long-term growth through global competitiveness thanks to its tourism work, primarily through the commercial and non-commercial elements of the Business Development Program. As an economic sector, tourism offers significant wealth and job creation opportunities for small and medium-sized enterprises (SMEs). This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises, and support for business associations and other activities related to improving the business environment.","L’Agence de promotion économique du Canada atlantique (APECA) cherche à saisir les occasions de commerce et d'investissement en vue d’accroître le nombre d’exportateurs et le volume des ventes à l’exportation, d’attirer des investissements étrangers directs et d’appuyer la commercialisation des technologies. L’Agence fait connaître le Canada atlantique à l’étranger en tant que chef de file mondial dans divers domaines et de diverses manières, notamment : la production d’énergie; l'exportation et la recherche; un centre d’innovation; un bassin de travailleurs qualifiés; un fournisseur fiable de produits de qualité à des prix concurrentiels; et la porte d’entrée du marché nord-américain. Elle joue un rôle dans la coordination des efforts des organismes fédéraux, provinciaux et du secteur privé du Canada atlantique qui cherchent des occasions de commerce et d'investissement. Les clients comptent des entreprises, des organismes sans but lucratif, des établissements d’enseignement et de recherche et les gouvernements provinciaux. En outre, l’APECA s'efforce d'établir les fondements d’une croissance à long terme grâce à la compétitivité à l’échelle mondiale de ses activités touristiques, principalement à l’aide des éléments commerciaux et non commerciaux du Programme de développement des entreprises. En tant que secteur économique, le tourisme offre aux petites et moyennes entreprises (PME) des possibilités importantes de création de richesse et d’emplois. Ce programme s’harmonise bien avec la Loi sur l’APECA et les types d’activités prévus par celle-ci, dont le soutien des entreprises et des associations de gens d’affaires, ainsi que d’autres activités liées à l’amélioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED05,Business Growth,"The Atlantic Canada Opportunities Agency (ACOA) invests in business growth to enhance Atlantic Canadians’ access to the information and financing they need to grow a business. This enables businesses to become more innovative, productive and grow, which generates wealth and jobs. Investments are made through direct repayable and non-repayable contributions to businesses that increase their competitiveness with activities aimed at productivity improvements (new technology/equipment purchase), cleantech adoption/adaptation, start-ups, expansions, modernizations, and domestic marketing. Non-repayable contributions are made to non-profit organizations such as business and economic development associations supporting business start-up and clean growth. ACOA also administers Canada Business, a comprehensive source of information on government services, programs, regulations and resources for businesses. By reducing the complexity of dealing with governments, Canada Business helps the business development process. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.","L’Agence de promotion économique du Canada atlantique (APECA) investit dans la croissance des entreprises pour améliorer l’accès des gens du Canada atlantique à l’information et au financement requis pour faire croître une entreprise. Ces investissements aident les entreprises à être plus novatrices et productives et à prendre de l’expansion, ce qui crée de la richesse et des emplois. Ils sont réalisés en fournissant des contributions directes remboursables et non remboursables aux entreprises pour leur permettre d’augmenter leur compétitivité par l'entremise d'activités favorisant une productivité accrue (achat de nouvelles technologies ou d’équipement), l’adoption et l'adaptation de technologies propres, le démarrage, l’agrandissement et la modernisation d’entreprises, et la commercialisation intérieure. Des contributions non remboursables sont versées à des organismes sans but lucratif, comme des associations de développement économique et d’entreprises, qui appuient le démarrage d’entreprises et la croissance propre. De plus, l’Agence administre Entreprises Canada, une source complète d’information sur les services, programmes, ressources et règlements gouvernementaux à l’intention des entreprises. En réduisant la complexité des relations que les entreprises doivent entretenir avec les divers ordres de gouvernement, Entreprises Canada contribue au processus de développement des entreprises. Ce programme s’harmonise bien avec la Loi sur l’APECA et les activités connexes, dont le soutien des entreprises et des associations de gens d’affaires, et d’autres activités liées à l’amélioration du contexte commercial."
Canada Economic Development for Quebec Regions,141,BLL01,Business Innovation and Growth,"CED supports business innovation and growth to foster the prosperity of Quebec's economy and generate high-quality jobs. Among businesses, SMEs are a fundamental driver of economic development. CED helps boost business innovation and growth by supporting the efforts of businesses to build their capacity to develop/adopt and market new products, processes and services; enhance exports; increase productivity; expand; and participate in the digital transition and clean growth. CED fosters business innovation and growth which primarily targets businesses and the non-profit organizations that support them.","DEC appuie l’innovation et la croissance des entreprises afin de soutenir la prospérité de l’économie du Québec et de créer des emplois de qualité. Parmi l’ensemble des entreprises, les PME sont un acteur essentiel du développement économique. DEC parvient à stimuler l’innovation et la croissance des entreprises en appuyant leurs efforts pour renforcer leur capacité à développer ou à adopter de nouveaux produits, procédés et services, et à les commercialiser, à rehausser les exportations, à accroître leur productivité, à prendre de l’expansion et à participer à la transition numérique et à la croissance propre. Son intervention s’effectue principalement auprès des entreprises et par l’entremise d’organismes à but non lucratif qui les appuient."
Canada Economic Development for Quebec Regions,141,BLL02,Community Economic Development and Diversification,"CED supports community economic development and diversification with a view to fostering economic prosperity in Quebec and creating good jobs for the middle class. CED’s activities primarily target non-profit organizations with an economic orientation, and businesses. Diversification is an essential prerequisite for the growth and resilience of regional economies, particularly in single industry communities. CED is thus helping to build more attractive, competitive and inclusive regions. It brings this about by providing support for local and regional enterprises, and by developing strategies and engagement plans and community economic facilities to strengthen local economies and promote community engagement. It also achieves this by boosting strategic investments through the development and promotion of regional assets to attract tourists from outside Quebec as well as international organizations. Moreover, CED supports the economic inclusion of minority communities by supporting their economic development activities. It also supports community economic diversification and development by offering communities located outside major urban centres necessary resources to identify and apply local solutions to their problems.","DEC appuie le développement et la diversification économique des collectivités afin de soutenir la prospérité de l’économie du Québec et de créer des emplois de qualité pour la classe moyenne. Son intervention s’effectue principalement auprès d’organismes à but non lucratif à vocation économique et d'entreprises. La diversification est un prérequis indispensable pour la croissance et la résilience des économies régionales, particulièrement celles qui dépendent d’un seul secteur. DEC contribue ainsi à bâtir des régions plus attirantes, compétitives et inclusives. Il y parvient en soutenant les entreprises à rayonnement local et régional; le développement des stratégies et des plans de mobilisation et les équipements collectifs économiques qui visent à renforcer le tissu économique local et qui favorisent la mobilisation du milieu. Il y arrive également en stimulant les investissements stratégiques par le développement et la promotion des atouts régionaux de manière à attirer des touristes hors-Québec et des organisations internationales. DEC soutient également l’inclusion économique de communautés minoritaires en les appuyant dans leurs efforts de développement économique. DEC appuie aussi le développement et la diversification économique des collectivités en offrant aux collectivités situées à l’extérieur des régions métropolitaines, les ressources nécessaires pour cerner et appliquer des solutions locales."
Canada Economic Development for Quebec Regions,141,BLL03,Targeted Transition Support,"CED supports Quebec communities, when necessary, to deal with an economic shock, a natural or human disaster or major economic issues. CED achieves this through dedicated additional funding from the Government of Canada. Its intervention is mainly with businesses, cities and municipalities or through non-profit economic organizations. CED also delivers targeted priority initiatives for the Government of Canada in Quebec. For example, CED supports women entrepreneurs through the Strategy for Women in Entrepreneurship to help them grow their existing businesses or start new ones.","DEC appuie les collectivités du Québec, lorsque nécessaire, à faire face à un choc économique, à un désastre naturel ou humain ou encore à des enjeux économiques majeurs. DEC y parvient par le biais d’un financement supplémentaire dédié du gouvernement du Canada. Son intervention s’effectue principalement auprès des entreprises, des villes et municipalités ou par l’entremise d’organismes à but non lucratif à vocation économique. DEC assure aussi la prestation au Québec d’initiatives prioritaires ciblées pour le gouvernement du Canada. Par exemple, DEC appui les femmes entrepreneures au moyen de la Stratégie pour les femmes en entrepreneuriat dans le but de les aider à faire croître leur entreprise existante ou à démarrer de nouvelles entreprises."
Canada Institutes of Health Research,74,BUI03,Research in Priority Areas,"This program provides funding for targeted grants and awards aimed at addressing priority areas. Priorities are identified by CIHR in consultation with other government departments and agencies, partners and stakeholders. The program mobilizes researchers, patients, health providers, and decision makers to conduct research, enable knowledge translation and build capacity in the priority areas. It often requires collaboration within and across sectors.","Ce programme offre des subventions et des bourses ciblées dans les domaines prioritaires. Les priorités sont établies par les IRSC en consultation avec d’autres ministères et organismes gouvernementaux, des partenaires et des intervenants. Le programme mobilise des chercheurs, des patients, des fournisseurs de soins de santé et des décideurs afin qu’ils participent à la conduite de travaux de recherche, favorisent l’application des connaissances et renforcent les capacités dans les domaines prioritaires. Il nécessite souvent des collaborations intrasectorielles et intersectorielles."
Canada Institutes of Health Research,74,BUI01,Investigator-Initiated Research,"This program provides funding to conduct research in any area related to health aimed at the discovery and application of knowledge. Funding is provided to researchers and academic organizations to conduct research, translate knowledge, and build capacity through research training and salaries. Applicants identify and propose the nature and scope of the research and compete for support by demonstrating excellence and the potential impact the research will have on health systems and/or health outcomes.","Ce programme offre des fonds de recherche dans tout domaine lié à la santé visant la découverte et l’application de connaissances. Le financement est fourni aux chercheurs et aux établissements universitaires pour qu’ils mènent des travaux de recherche, appliquent les connaissances et renforcent les capacités par la formation en recherche et l’octroi de salaires. Les candidats déterminent et proposent la nature et l’étendue de la recherche, puis se livrent concurrence pour obtenir du financement en démontrant leur excellence et l’impact potentiel de leur recherche à l’égard des systèmes de santé ou des résultats sur la santé."
Canadian Heritage,122,BSD03,Cultural Industries Support and Development,"This program fosters the creation, development of, access to, and consumption of diverse Canadian cultural content at home and abroad. Through the delivery of grants, contributions and certification for tax credit purposes, the Department ensures that a wide range of Canadian content is produced and marketed across a variety of media, including books, periodicals, music, film and television, and innovative applications on multiple platforms. It encourages sound and sustainable business and industry practices and the establishment of partnerships at the national and international levels. This program co-administers two refundable tax credit programs with the Canada Revenue Agency through audiovisual production certification. It also provides advice on policies, legislation and regulatory measures for cultural industries.","Le programme favorise la création et la jouissance de contenu culturel canadien diversifié ici et à l’étranger. Par l’octroi de Subventions et de Contributions et l’étude de l’admissibilité à des crédits d’impôt, le Ministère prend les mesures nécessaires pour que du contenu canadien de toutes les sortes soit produit et commercialisé sous forme de livres, de périodiques, de musique, de films et d’émissions de télévision, voire sur de multiples plateformes dans le cas de projets novateurs. Il encourage les organisations et le secteur dans son ensemble à adopter des pratiques saines et durables et à établir des partenariats à l’échelle nationale et internationale. Il s’agit de l’un des programmes qui gèrent deux crédits d’impôt avec l’Agence du revenu du Canada pour les productions audiovisuelles. Le programme comprend aussi un volet de conseils sur les mesures législatives et réglementaires dans le secteur culturel."
Canadian Northern Economic Development Agency,86,BNL02,Business Development,"Through advice, path finding and funding this program supports the growth and expansion of northern businesses, including small and medium enterprises. (The program's objective is to encourage a competitive, diverse northern business sector that is aligned with economic development opportunities across the North)","Par l’intermédiaire de conseils, d’aide et d’orientation et de soutien financier, ce programme appuie la croissance et l’expansion des entreprises nordiques, y compris les petites et moyennes entreprises. (Son objectif consiste à soutenir la capacité concurrentielle et la diversité du secteur des affaires en fonction des possibilités de développement économique dans l’ensemble du Nord.)"
Canadian Space Agency,95,BLM03,Space Capacity Development,"The Space Capacity Development Program carry out activities that range from pre-mission research and development to timely flight demonstration, with the aim of positioning the Canadian space sector for global opportunities. It offers an end-to-end approach - from idea to space - with activities that are targeted to increase space and market readiness for both science and technologies to be flight-ready for space missions whether they are commercial or government driven. It also develops the space workforce of tomorrow by supporting hands-on experience for post-secondary students and young professionals and by encouraging youth K-12 to pursue careers in Science, technology, engineering and mathematics.","Le programme de développement de la capacité spatiale mène des activités, allant de travaux de recherche et développement préalables aux missions à des démonstrations de vol en temps opportun, en vue de positionner le secteur spatial canadien de façon à ce qu’il puisse tirer avantage des occasions s’offrant à l’échelle mondiale. Ce programme propose une approche globale, allant de la génération d’idées au lancement du produit dans l’espace, qui comprend des activités visant à accroître la capacité des sciences et des technologies à être envoyées dans l’espace, ainsi que leur aptitude de commercialisation, afin qu’elles puissent être intégrées à des missions spatiales, qu’elles soient à caractère commercial ou mises en œuvre par le gouvernement. Ce programme œuvre également à la mise sur pied de la main-d’œuvre spatiale de demain en favorisant l’offre d’expériences pratiques aux étudiants de niveau postsecondaire et aux jeunes professionnels ainsi qu’en encourageant les élèves des écoles primaires et secondaires à faire carrière en science, technologie, ingénierie et mathématiques."
Department of National Defence,133,BUQ08,"Science, Technology and Innovation","The Science, Technology and Innovation Program provides the Department of National Defence and the Canadian Armed Forces with an advantage in knowledge, technologies and solutions for mission success while enabling a robust innovation base for Defence excellence and security.","Le programme de sciences, technologie et innovation donne au Ministère de la Défense nationale et aux Forces armées canadiennes un avantage relativement aux connaissances, aux technologies et aux solutions pour assurer le succès des missions tout en créant une base solide pour l'innovation afin d'assurer la sécurité et l'excellence de la Défense."
