Department Code,Transfer Payment Program,Programme de paiment de transfer,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
95,"Research, Awareness and Learning in Space Science and Technology","Programme à l'appui de la recherche, de la sensibilisation et de l'éducation en sciences et technologies spatiales",01/10/2009,Permanent,Subvention et contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2009-2010,"Ce programme appuie le développement des connaissances et l'innovation dans des domaines prioritaires de l'ASC et accroît la sensibilisation et la participation des Canadiens aux disciplines et aux activités liées à l'espace. Le programme comprend les deux volets suivants :

Recherche et
Sensibilisation et éducation.
Le volet recherche vise à soutenir le développement des sciences et des technologies, à favoriser le développement continu d'une masse critique de chercheurs et de personnes hautement qualifiées au Canada, et à appuyer la collecte d'information, la recherche et les études relatives à l'espace en tenant compte des priorités de l'ASC.

Le volet Sensibilisation et éducation vise à offrir des possibilités d'apprentissage aux étudiants canadiens dans diverses disciplines liées à l'espace, à soutenir les activités des organisations qui se consacrent à la recherche et à l'éducation dans le domaine spatial, à sensibiliser les étudiants canadiens aux sciences et technologies spatiales canadiennes et à les faire participer davantage à des activités connexes.

Ce programme de transfert de paiement est composé de subventions et contribution non remboursable.","Volet recherche

Résultat n 1 : Des connaissances accrues grâce à des projets de recherche dans les domaines prioritaires en science et technologie spatiale.

Indicateur de rendement : Nombre de projets et initiatives (Appel d'offres de participation) décernées et en cours.

Indicateur de rendement : Nombre de projets et initiatives (Appel d'offres de participation) complétés de science et technologie spatiale.

Indicateur de rendement : Nombre de personnes hautement qualifiées (PHQ) prenant part à des projets et des initiatives axés sur les sciences et les technologies spatiales.

Résultat n 2 : Maintenir ou accroître le focus sur l'espace des universités, des institutions postsecondaires et des organisations à but non lucratif et lucratif.

Indicateur de rendement : Nombre d'universités, d'établissements d'enseignement postsecondaire et d'organisations à buts non lucratifs et lucratifs impliqués dans des projets financés.

Résultat n 3 : Des partenariats établis et/ou poursuivis.

Indicateur de rendement : Nombre et types de partenariats créés et maintenus.

Indicateur de rendement : Nombre de partenariats de recherche (national et international).

Résultat n 4 : Effet de levier sur les contributions de partenaires.

Indicateur de rendement : Nombre d'ententes avec des fonds bonifiés.

Indicateur de rendement : Proportion de fonds bonifiés par rapport aux fonds issus de subventions/contributions.

Résultat n 5 : Accès à la collaboration internationale pour les organisations canadiennes.

Indicateur de rendement : Nombre d'ententes bonifiées par du financement international.

Volet sensibilisation et éducation :

Résultat n 6 : Accroître les connaissances et compétences dans les disciplines liées à l'espace parmi le public cible.

Indicateur de rendement : Nombre et type d'événements d'apprentissage suivis.

Résultat n 7 : Public cible atteint grâce à des activités d'apprentissage et du matériel lié à la science et à la technologie

Indicateur de rendement : Nombre de personnes touchées par les segments d'audience.",2016-2017,Continuation,2021-2022,"Industries (p. ex. entreprises à but lucratif)
Organisations internationales (par exemple, organisation internationale à but non lucratif)
Individus (p. ex. étudiants)
Organismes à but non lucratif (p. ex. universités, centre de recherches)","Une initiative consistant en un suivi annuel automatisé des projets a été lancée en janvier 2012, afin de susciter la participation des bénéficiaires. L'ASC a étendu ce projet pilote afin d'établir un dialogue avec des bénéficiaires et des demandeurs potentiels par l'entremise de son site web.

Des consultations, des présentations et des discussions avec la communauté universitaire, des intervenants de l'industrie et d'autres bénéficiaires potentiels sont en cours.",
133,Innovation for Defence Excellence and Security,"Innovation pour la défense, l'excellence et la sécurité",2017-2018,2036-2037,Subvention et contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018,"Le but de l’IDEeS et du Programme de subventions et de contributions est de soutenir, d’accroître et de maintenir la capacité de la communauté des sciences et de la technologie (S et T) à l’extérieur du MDN susceptible de générer de nouvelles idées et de formuler des solutions aux exigences actuelles et futures en matière de défense et de sécurité. On y parviendra en finançant des initiatives de S et T qui concordent avec les domaines prioritaires de S et T liés à la défense et à la sécurité.

Les objectifs sont les suivants :

Appuyer la recherche fondamentale et appliquée, l’analyse, le développement technologique et le transfert des connaissances menant à des solutions novatrices aux principaux défis de S et T pour la défense et la sécurité relevés par le MDN et le portefeuille de la Sécurité publique;
Mobiliser, faire participer et soutenir les chercheurs du milieu universitaire, du secteur public et de l’industrie afin de faire progresser l’innovation relative aux défis de S et T pour la défense et la sécurité; et
Encourager, améliorer, faire durer et soutenir les réseaux d’innovation et les collaborations avec d’autres ordres de gouvernement, l’industrie et le milieu universitaire en vue de créer une masse critique de compétences spécialisées, de connaissances et de solutions pour la défense et la sécurité du Canada.","À court terme: le MDN doit disposer de mécanismes efficaces pour faire participer les innovateurs, solliciter des idées et des initiatives pour relever les défis de la défense et de la sécurité. Ceci sera mesuré par le pourcentage de défis posés par les S&T qui réussiront à solliciter les réponses des innovateurs.

À moyen terme: les innovateurs canadiens s'engageront à résoudre les problèmes de défense et de sécurité. Ceci sera mesuré en évaluant le pourcentage des problèmes de défense et de sécurité affichés ou des questions qui entraînent des projets ou des initiatives qui les traitent.

À long terme: les réseaux canadiens de S et T en matière de défense et de sécurité sont soutenus et apprêtés à élaborer des conseils et des solutions novatrices pour protéger, sécuriser et défendre le Canada et ses citoyens.",Sans objet. Il s’agit d’un nouveau programme approuvé en novembre 2017.,Sans objet.,La prochaine évaluation est prévue pour l’année financière 2022-2023 si les dépenses réelles moyennes pour cinq ans du programme en cours s’élèvent à plus de cinq millions de dollars par année.,"Les bénéficiaires admissibles au financement sont les suivants :

les universités canadiennes et les établissements d’enseignement à charte du Canada;
les organisations ou les associations canadiennes sans but lucratif constituées en sociétés;
les organisations gouvernementales provinciales, territoriales ou municipales;
les entreprises, les organisations ou les associations canadiennes à but lucratif constituées en sociétés; et
tout groupe, toute grappe ou tout consortium composé de bénéficiaires admissibles et des chercheurs et professionnels connexes, y compris les collaborateurs de S et T étrangers. Les bénéficiaires admissibles doivent tous avoir le statut juridique nécessaire pour conclure une entente de contribution.
Les sociétés d’État fédérales et provinciales ne sont pas admissibles au financement dans le cadre du Programme de subventions et de contributions.","Le programme Innovation pour la défense, l’excellence et la sécurité (IDEeS) s'efforce de communiquer efficacement avec ses intervenants, grâce à un large éventail de produits et à un grand nombre de publics différents au Canada. Les demandeurs de programmes sont soutenus par un site Web dédié au programme (www.canada.ca/defence-IDEeS) qui donne accès aux appels à propositions, aux guides de programmes, aux exigences d'admissibilité et aux détails de coordonnées de l'administration du programme (MDN. IDEaS-IDEeS.MDN@forces.gc.ca).

Les appels aux propositions ont été largement annoncés au moyen de communiqués de presse publics, de listes de distribution par courrier électronique et de liaisons avec un large éventail d'associations, d'autres ministères du gouvernement et d'autres intervenants. Par exemple, depuis le lancement du programme en avril 2018, le programme a tenu plus de 40 séances d'information, des présentations et des discussions avec des milliers d'innovateurs dans divers forums au Canada, y compris des conférences, des panels de discussion, des sessions d’informations et réunions avec des entreprises et des associations intéressées par IDEeS.

Le programme continue de collaborer avec les innovateurs pour s'assurer qu'il diffuse des informations cohérentes, pertinentes et axées sur les résultats.",
137,Science Horizons Program,Programme de stages pour les jeunes Horizons Sciences,1997,Permanent,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2016-2017,"Le programme vise à créer, pour la jeunesse, des possibilités dans les domaines des sciences, de la technologie, du génie et des mathématiques (STGM) en leur procurant des expériences pratiques avec des employeurs potentiels. Les organisations admissibles évaluent les employeurs potentiels qui reçoivent des subventions salariales destinées à l’embauche de jeunes en tant qu’internes pour des projets axés sur des études en environnement.",Création de plus de 179 stages en 2018‑2019 et atteinte d’un taux de 80 % des anciens stagiaires qui trouvent un emploi en STGM ou entreprennent des études supérieures dans un de ces domaines.,2014-2015 (évaluation sommative de la Stratégie emploi jeunesse horizontale pour 2012-2015).,"Dans le cadre de l’évaluation sommative de la SEJ, les recommandations 1 et 5 s’appliquent au programme Horizons Sciences.

Recommandation 1 : Il est recommandé que tous les ministères et organismes partenaires de la SEJ continuent de surveiller les bénéficiaires du financement et de veiller à ce que les critères d’admissibilité à Objectif carrière soient remplis.

Recommandation 5 : Il est recommandé que les ministères et organismes partenaires de l’EDSC et de la SEJ collaborent pour améliorer la diffusion de renseignements utiles sur le marché de l’emploi et les carrières aux jeunes.",2019-2020,"Les bénéficiaires directs du financement d’ECCC sont les agents d’exécution qui gèrent le programme Horizons Sciences. Les bénéficiaires des subventions salariales sont des organismes à but lucratif, des organismes sans but lucratif, des administrations minucipales, des organisations autochtones et des établissements d’enseignement postsecondaire.  ","Pour 2019‑2020, ECCC a lancé un appel élargi afin que des organisations fassent des demandes pour devenir des agents d’exécution. Chaque agent d’exécution cible un segment particulier du marché et se sert de son propre réseau d’organisations et d’établissements d’enseignement pour promouvoir le programme. Il s’agit notamment pour l’agent d’exécution d’envoyer des courriels d’information à son réseau et de participer à des salons de l’emploi tenus dans des collèges et des universités, ainsi qu’à des conférences et activités de réseautage de l’industrie de l’environnement et des technologies propres.

De plus, ECCC se sert de médias sociaux et de son site Internet pour faire connaître les réussites des employeurs et des stagiaires qui ont profité du programme et diffuser d’autres renseignements sur le programme Horizons Sciences.",
137,Low Carbon Economy Fund,Fonds pour une économie à faibles émissions de carbone,2018-2019,2021-2022,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2018-2019,"Le Fonds pour une économie à faibles émissions de carbone (FEFEC) est un outil essentiel pour faire avancer les mesures d'atténuation progressives nationales sous le Cadre pancanadien sur la croissance propre et les changements climatiques (le Cadre) afin de soutenir sa mise en œuvre, la transition du Canada vers une économie à faibles émissions de carbone et à travailler pour respecter ou à dépasser les engagements pris dans le cadre de l’accord de Paris.

Le FEFEC soutient les mesures d’atténuation provinciales et territoriales dans le contexte du Cadre pancanadien. Plus particulièrement, le FEFEC doit appuyer les mesures qui réduisent de façon importante les émissions de gaz à effet de serre (GES) (comprennent les mesures qui augmentent l’élimination de façon importante, s’il y a lieu), qui sont complémentaires aux plans actuels et qui obtiennent des réductions importantes dans la période de la première contribution déterminée au niveau national du Canada dans le cadre de l’Accord de Paris. Également, dans la mesure du possible, les ressources seront attribuées aux projets qui obtiennent la plus grande réduction absolue d’émissions de gaz à effet de serre au plus bas coût par tonne.","Continue de soutenir la collaboration et maintenir l'élan avec les provinces et les territoires qui sont signataires du Cadre, tout en démontrant le leadership du gouvernement de combattre les changements climatiques, de mettre en œuvre efficacement les propositions approuvées pour le financement sous le FEFEC afin de contribuer à la transition du Canada vers une économie à faibles émissions de carbone.",Sans objet,Sans objet,Inconnu,"Gouvernements provinciaux, territoriaux, municipaux et sociétés d’État provinciales. organisations et communautés autochtones; organisations sans but lucratif; particuliers; établissements de recherche, universitaires et d’enseignement; sociétés et entreprises privées.",ECCC continuera de développer des produits de communication et d’engagement afin de mieux faire connaître les projets financés par le FEFEC. Celles-ci viendront compléter les travaux déjà réalisés aux étapes de développement et de lancement du programme au cours des exercices 2017-2018 et 2018-2019.,
150,Advanced Manufacturing Fund,Fonds de la fabrication de pointe,01/04/2014,31/03/2019,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2014-2015,"Le Fonds de fabrication de pointe a pour but de promouvoir la croissance, la productivité et la concurrence à long terme du secteur manufacturier de l'Ontario. Cet objectif est réalisé en soutenant la mise en œuvre d'activités de fabrication de pointe transformatives et à grande échelle; en favorisant le développement et/ou l'adoption de technologies de pointe; en encourageant des projets qui procurent des retombées avantageuses pour les grappes de la fabrication et/ou les chaînes d'approvisionnement mondiales; et en favorisant les collaborations entre le secteur privé, les instituts de recherche et les établissements d'enseignement postsecondaire.","Les entreprises d'Ontario sont plus concurrentielles et productives, on observe une commercialisation accrue découlant des activités de recherche et de développement et d'élaboration, et les possibilités d'emploi dans le Sud de l'Ontario sont meilleures.",2017-2018,Continuation,2019-2020,"Organismes à but non lucratif (tels que les universités, les instituts de recherche, les entités liées à la santé)
Bénéficiaires liés à l'industrie (entreprises à but lucratif, secteurs précis de l'industrie)","Les représentants de FedDev Ontario participent aux activités de sensibilisation, y compris des conférences et des réunions avec les intervenants afin de cerner les projets ultérieurs possibles et de les aider à explorer d'autres occasions de financement fédérales et provinciales, le cas échéant. Ils collaborent également avec les bénéficiaires tout au long de la période de mise en œuvre du projet et identifient les occasions permettant d'annoncer les jalons du projet.",
150,Eastern Ontario Development Program,Programme de développement de l'Est de l'Ontario,01/04/2014,31/03/2019,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2014-2015,"Le Programme de développement de l'Est de l'Ontario est une initiative de développement économique qui résout les défis économiques dans l'Est de l'Ontario en empruntant les nouvelles avenues qui s'ouvrent dans la région. Il s'agit d'un programme offert par des organismes tiers, plus précisément les quinze (15) Sociétés d'aide au développement des collectivités (SADC) et le Réseau des SADC de l'Est de l'Ontario. Chaque SADC et le Réseau des SADC de l'Est de l'Ontario lancent des appels de propositions et évaluent celles-ci en fonction de leur potentiel pour stimuler le développement économique local et créer des emplois.",La situation économique des collectivités de l'Est de l'Ontario s'est améliorée et les entreprises de l'Est de l'Ontario sont plus concurrentielles. On atteindra ce résultat en facilitant l'accès au financement pour les entreprises et en augmentant l'investissement dans la capacité économique des collectivités. Les résultats intermédiaires comprennent l'augmentation  des possibilités d'emploi et le renforcement de la valeur et de la diversité des marchés.,2017-2018,Continuation,2019-2020,"Les bénéficiaires directs admissibles du financement du PDEO sont les 15 SADC de l'Est de l'Ontario et le Réseau des SADC de l'Est de l'Ontario. Ceux-ci fournissent à leur tour ce financement à de nombreux demandeurs admissibles, dont les organismes à but non lucratif (y compris les municipalités et les organismes municipaux), les organismes communautaires de développement économique, les organismes autochtones et les établissements d'enseignement postsecondaire.",FedDev Ontario collabore avec les SADC et le Réseau des SADC de l'Est de l'Ontario au moyen de la surveillance active de projet assurée par les agents de programme et des rencontres régulières avec les SADC et le Réseau des SADC de l'Est de l'Ontario.,
150,Southern Ontario Prosperity Initiatives,Initiatives pour la prospérité du Sud de l'Ontario,01/04/2014,31/03/2024,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2014-2015,"Le volet Développement économique et diversification des collectivités vise à transformer et à diversifier les économies locales en favorisant le développement des petites entreprises, l'innovation communautaire et les collaborations stratégiques.

L'Initiative de développement économique appuie le développement de nouvelles expertises par l'innovation, la diversification des activités économiques, les partenariats et un soutien accru aux petites entreprises des communautés francophones de la région. L'Initiative de développement économique fait partie de la Feuille de route pour les langues officielles du Canada 2013-2018 : éducation, immigration, communautés et de la stratégie du gouvernement du Canada en matière de langues officielles.","Le Programme de développement économique et de diversification des collectivités vise à aider les collectivités à exploiter leurs forces économiques et leurs atouts particuliers à ces fins :

Accroître les possibilités d'attraction, d'investissement, de maintien en poste et d'emploi pour les entreprises dans les collectivités du Sud de l'Ontario;
Élaborer et élargir les efforts de collaboration pour renforcer la capacité concurrentielle de la région;
Appuyer les entreprises, les grappes et les collectivités de la région dans le but de diversifier, d'intégrer et de transformer l'économie.
Les objectifs de l'Initiative de développement économique sont les suivants :

Renforcer l'innovation, l'entrepreneuriat, les partenariats et la diversification des activités économiques dans les communautés de langue officielle en situation minoritaire (CLOSM).
Les partenaires et intervenants fédéraux connaissent mieux les enjeux économiques des CLOSM.
Les entrepreneurs créent, maintiennent et développent des entreprises.
Les collectivités mettent en œuvre des initiatives de développement économique.
Les collectivités et les entreprises développent leurs capacités, de nouvelles compétences et des partenariats.",2017-2018,Poursuite,"Une dernière évaluation sera effectuée en 2019-2020 pour les initiatives antérieures suivantes dans le cadre de ce programme : partenariats de commercialisation, investissement des entreprises, croissance et productivité des entreprises, diversification régionale, Programme de développement de l'Est de l'Ontario et Fonds de fabrication de pointe.

La dernière évaluation du nouveau volet Développement économique et diversification des collectivités aura lieu en 2023-2024.","Les organismes sans but lucratif qui appuient le développement ou la diversification des collectivités et qui peuvent inclure : les organismes sans but lucratif et organisations dirigés par des Autochtones; les sociétés d'aide au développement des collectivités (SADC); les municipalités et autres organismes de type municipal; un groupe ou une alliance comme une association ou un consortium industriels; les accélérateurs et incubateurs d'entreprises; les entreprises sociales et les coopératives; les autres organismes sans but lucratif, selon le cas, et les entreprises à but lucratif constituées en personnes morales dans le Sud de l'Ontario.

Les communautés de langue officielle en situation minoritaire, y compris les sociétés de développement économique local, les organismes sans but lucratif, les associations sectorielles, les organismes du secteur privé et les établissements postsecondaires offrant des programmes d'études à temps plein en français.","Les représentants de FedDev Ontario participent à des activités de sensibilisation, y compris des conférences, des réunions et des tables rondes avec des groupes d'intervenants afin de mobiliser les candidats potentiels. Ils travaillent avec les demandeurs potentiels pour appuyer la réception de demandes complètes et de qualité.

Pour les projets financés, les représentants de FedDev Ontario entreprennent également des activités de surveillance des projets axées sur les risques qui comprennent des visites sur place, des contacts réguliers avec les bénéficiaires concernant les exigences en matière de rapports et de réclamations pour assurer l'avancement et la réalisation des projets en temps opportun. Ils communiquent également avec les bénéficiaires tout au long de la période de mise en œuvre du projet et déterminent les occasions d'annoncer les jalons du projet et de tenir des activités de communication.",
150,Community Futures Program,Programme de développement des collectivités,1986,En cours,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2010-2011,Le Programme de développement des collectivités appuie les Sociétés d'aide au développement des collectivités (SADC) du Sud de l'Ontario. Celles-ci aident les collectivités rurales dans l'élaboration et la mise en œuvre de solutions locales visant à soutenir le développement économique communautaire et la croissance des petites entreprises.,"Les collectivités rurales du Sud de l'Ontario sont plus fortes et mieux outillées pour relever les défis économiques futurs. Le financement aide les collectivités à poursuivre les objectifs suivants :

a. Stabilité économique, croissance et création d'emplois

b. Économies rurales locales diversifiées et concurrentielles

c. Collectivités économiquement durables",2013-2014,Poursuite,2018-2019,SADC situées dans les régions rurales du Sud de l'Ontario,"FedDev Ontario collabore avec les SADC du Sud de l'Ontario grâce à la surveillance active des projets par les agents de programme et à des réunions régulières avec les SADC, l'Association des Sociétés d'aide au développement des collectivités de l'Ontario et deux réseaux régionaux des SADC.",
150,Regional Growth Through Innovation,Croissance économique régionale par l'innovation,18/10/2018,"CERI — 31 mars 2023

FFE — 31 mars 2020

Fonds pour l'écosystème de la SFE — 31 mars 2023",Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2018-2019,"La Croissance économique régionale par l'innovation (CERI) consolide la série existante de programmes d'innovation offerts par les organismes de développement régional (ODR) en deux volets de programmes uniformes à l'échelle nationale et adaptés aux régions. Dans le cadre de l'initiative CERI, les programmes de financement pour l'innovation des six ODR du Canada seront axés sur deux volets clés :

Croissance et productivité des entreprises : Investir dans des entreprises à divers stades de développement, y compris des entreprises à forte croissance, et les soutenir afin d'accélérer leur croissance, de les aider à accroître leur productivité et leur capacité concurrentielle sur les marchés nationaux et mondiaux.
Écosystème régional d'innovation : Créer, développer et entretenir des écosystèmes régionaux inclusifs qui soutiennent les besoins des entreprises et favorisent un environnement entrepreneurial propice à l'innovation, à la croissance et à la compétitivité.
La Stratégie pour les femmes en entrepreneuriat (SFE) aidera les femmes entrepreneures à démarrer et à faire croître leur entreprise grâce à deux volets du programme :

Fonds pour l'écosystème de la SFE : Un programme quinquennal qui renforcera la capacité de l'écosystème de l'entrepreneuriat et comblera les lacunes dans les services offerts aux femmes entrepreneures.
Fonds pour les femmes en entrepreneuriat (FFE) : Un programme de deux ans qui investit directement dans les entreprises dirigées par des femmes pour les aider à croître et à atteindre de nouveaux marchés.
Les paiements de transfert seront des contributions remboursables et non remboursables.","Les entreprises sont plus innovatrices et concurrentielles, et les collectivités de la région jouissent d'une meilleure situation économique. Les investissements accélèrent la croissance des entreprises à fort potentiel et alimentent de solides écosystèmes d'innovation régionaux. Les entreprises appartenant à des femmes et dirigées par des femmes bâtissent et font croître des sociétés de classe mondiale qui peuvent soutenir la concurrence et s'imposer sur la scène mondiale, stimuler la croissance économique et créer de bons emplois pour la classe moyenne.","Sans objet, nouveau programme",Sans objet,La dernière évaluation du CERI aura lieu en 2023-2024.,"Organismes sans but lucratif, y compris les associations industrielles, les organismes d'innovation et de développement économique, les réseaux d'investisseurs providentiels, les organismes de recherche et les établissements d'enseignement postsecondaire financés par l'État situés dans le Sud de l'Ontario, les entreprises à but lucratif, y compris les petites et moyennes entreprises, les entreprises en démarrage, les multinationales du Sud de l'Ontario et les organisations à but lucratif appartenant à des femmes ou dirigées par des femmes.","Les représentants de FedDev Ontario participent à des activités de sensibilisation, y compris des conférences, des réunions et des tables rondes avec des groupes d'intervenants afin de mobiliser les candidats potentiels et d'appuyer la réception de demandes complètes et de qualité. Pour les projets financés, les représentants de FedDev Ontario entreprennent également des activités de surveillance des projets axées sur les risques qui comprennent des visites sur place, des contacts réguliers avec les bénéficiaires concernant les exigences en matière de rapports et de réclamations pour assurer l'avancement et la réalisation des projets en temps opportun. Les représentants de FedDev Ontario communiquent avec les bénéficiaires tout au long de la période de mise en œuvre du projet, y compris l'annonce des jalons du projet et des activités de communication.

Les représentants de FedDev Ontario collaborent avec les intervenants économiques régionaux et les entreprises à but lucratif en participant à l'initiative des services de croissance accélérée qui coordonne le soutien gouvernemental aux entreprises à forte croissance du Sud de l'Ontario.",
125,British Columbia Salmon Restoration and Innovation Fund,Fonds de restauration et d'innovation pour le saumon de la Colombie-Britannique,2019-2020,2023-2024,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2018-2019,"Le Fonds de restauration et d’innovation pour le saumon de la Colombie-Britannique (FRISCB) est un nouveau fonds conjoint Canada-Colombie-Britannique de 142,85 millions de dollars auquel le gouvernement fédéral contribue à hauteur de 70 % (100 millions de dollars) et ayant pour objectif d’aider à restaurer et à protéger les espèces vulnérables du saumon du Pacifique et leur habitat, et de soutenir le secteur des poissons et des fruits de mer en Colombie-Britannique afin d’en améliorer la viabilité environnementale et économique à long terme.","Le FRISCB et le Fonds des pêches du Québec (FPQ) sont conformes au résultat 1.1 du Cadre ministériel des résultats (CRD) du MPO, à savoir que les pêches canadiennes sont gérées de manière durable et que l’aquaculture canadienne est gérée de manière viable. Ils appuient directement la responsabilité essentielle du ministère de « Gérer les pêches, l’aquaculture et les programmes de pêche autochtone du Canada, ainsi que soutenir les ports de pêche commerciale tout en appliquant les lois pertinentes ».",Sans objet,Sans objet,2022-2023,"Collectivités des Premières Nations, autres bénéficiaires et organisations autochtones, organismes sans but lucratif",Sans objet,
125,Adoption of Clean Technology Within the Fisheries and Aquaculture Industry Through the Fisheries and Aquaculture Clean Technology Adoption,Adoption de technologies propres au sein de l'industrie de l'aquaculture et des pêches par l'entremise du Programme d'adoption des technologies propres pour les pêches et l'aquaculture,18/12/2017,31/03/2021,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018,"Le Programme d'adoption des technologies propres pour les pêches et l’aquaculture (PATPPA) vise à encourager les secteurs canadiens des pêches et de l’aquaculture à utiliser des mesures et des technologies propres, sans avoir à courir de grands risques financiers. L’objectif à long terme est de réduire les conséquences possibles de leurs activités sur l’environnement.

Le PATPPA offre un financement pour faciliter l’adoption de technologies et de procédés propres commercialisables, ainsi que l’adoption de pratiques durables dans la conduite des activités quotidiennes des installations aquacoles et de pêche sauvage.","À moyen terme (3 ans) :

Les résultats du programme à moyen terme sont mesurés par le nombre d'exploitants dans les secteurs de la pêche et de l'aquaculture qui adoptent des technologies propres immédiatement commercialisables. Pour le secteur de l'aquaculture, les objectifs à moyen terme du programme s'appuient sur l'expérience antérieure de l'exécution du Programme d’innovation en aquaculture et d’accès au marché (PIAAM, 2008-2013). Pour le secteur de la pêche, il n'y a pas d'antécédent de programme, et l'objectif est fondé sur les résultats escomptés et les efforts qui seront déployés pour assurer une répartition équitable des fonds entre le secteur de la pêche et celui de l'aquaculture.

Résultats :

Les exploitants des secteurs canadiens de la pêche et de l’aquaculture mettent en œuvre des technologies propres.

Indicateurs de rendement et cibles :

Secteur de la pêche : Cinquante-quatre bateaux de pêche adoptent les technologies propres d'ici le 31 mars 2020.

Secteur de l’aquaculture : Cinquante-quatre sites aquacoles adoptent les technologies propres d'ici le 31 mars 2020.

Stratégie relative aux données : Rapports finaux de projet

À long terme (10 ans) :

À long terme, les résultats sont axés sur des améliorations mesurables de la performance environnementale dans les secteurs de la pêche et de l'aquaculture. Ces résultats sont directement reliés au but du programme en ce qui concerne la performance environnementale améliorée pour les secteurs de la pêche et de l'aquaculture au Canada et l'adoption plus vaste des technologies propres dans ces secteurs.

Résultats :

Amélioration de la performance environnementale dans les secteurs des pêches et de l’aquaculture.

Indicateurs de rendement et cibles :

Pourcentage des intervenants qui rapportent une réduction des répercussions écologiques. : Données de référence à établir en 2018-2019 pour viser un objectif en 2021.

Nombre d’entreprises de pêches ou de sites aquacoles qui adoptent une technologie financée par le PATPPA, soit par un autofinancement ou par d’autres mécanismes de financement. : Équivaut au nombre de technologies financées en vertu du PATPPA d'ici 2021

Stratégie relative aux données : Rapports finaux de projet et sondage des associations de l'industrie de la pêche et de l'aquaculture (Données de tiers)",Sans objet,Sans objet,2020-2021,"Les bénéficiaires admissibles comprennent les personnes (travailleurs autonomes), les entreprises, les organisations autochtones (groupes, associations, collectivités) et l’industrie ou les associations professionnelles actuellement actives ou qui appuient des activités liées aux secteurs des poissons et des fruits de mer, y compris :

la récolte;
l’aquaculture;
la transformation.","Le site Web du PATPPA, qui sollicite des déclarations d’intérêt ou des propositions complètes de projets, a été lancé le 18 décembre 2017 conjointement avec l’annonce ministérielle du nouveau programme. Les responsables régionaux qui agissent à titre d’ambassadeurs et de coordinateurs du programme ont été mis sur pied dans les régions de l’Atlantique, du Centre et du Pacifique. Les employés de Pêches et Océans Canada agissent à titre de représentants du Ministère au centre des technologies propres du gouvernement du Canada, nouvellement établi, qui sollicite et oriente les demandes possibles pour un soutien du PATPPA.",
